id;obs_id;obs_name
75896405;2438113,1261247,1985181;pastabaum,epsilon,trichocereus
75896406;2438113,2626695;pastabaum,brothernorbert
75897037;2467347;gertiseiser
75897623;2467347,2438113;gertiseiser,pastabaum
75899666;2467347,2626695,2438113;gertiseiser,brothernorbert,pastabaum
75899702;2455232,1631021;amikiri,robink98
75900496;2455232,2329740,477431;amikiri,karimstrohriegl,carnifex
75900799;2455232,785914,1365088;amikiri,pdubois,bbinsecte
75901013;2455232,2032730;amikiri,waldgeist
75901324;2467347,2626695;gertiseiser,brothernorbert
75902607;2455232,1290751;amikiri,esant
75902977;2467347,2426747,684477;gertiseiser,bernhardhausdorf,sobam
75903646;2467347;gertiseiser
75904028;2467347,2626695;gertiseiser,brothernorbert
75905382;3022719;danielahlavka
75905387;3022719;danielahlavka
75905388;3022719;danielahlavka
75905393;3022719,4235899;danielahlavka,ninano
75905400;3022719,960916;danielahlavka,szucsich
75905475;2467347,2818064,477431;gertiseiser,floriolusfloriolus,carnifex
75905749;2438113,2626695,4310352;pastabaum,brothernorbert,yabo
75905752;2438113,2926001,1985181;pastabaum,tayloria,trichocereus
75905753;2438113,2926001,743099;pastabaum,tayloria,veszt
75905757;2438113,2886668,2426747;pastabaum,frank375,bernhardhausdorf
75905758;2438113;pastabaum
75905761;2438113,2626695;pastabaum,brothernorbert
75905764;2438113,2626695;pastabaum,brothernorbert
75906557;1631021,1422904,988618;robink98,bettyglatzhofer,samuel_messner
75907215;1631021,2329740,477431;robink98,karimstrohriegl,carnifex
75907436;2467347;gertiseiser
75908045;2467347,2176615,2426747,684477;gertiseiser,johannesvolkmer,bernhardhausdorf,sobam
75909326;2467347,2626695;gertiseiser,brothernorbert
75909730;2467347,899878;gertiseiser,irmi
75910125;3022719,2329740;danielahlavka,karimstrohriegl
75910132;3022719,2329740;danielahlavka,karimstrohriegl
